suicides100kpop,age,sex,HDI for year,gdp_per_capita ($)
3.49,35,0,0.614,251
3.41,15,0,0.614,251
3.13,55,0,0.614,251
2.85,25,0,0.614,251
2.39,15,1,0.614,251
1.5,25,1,0.614,251
0.62,35,1,0.614,251
0.61,55,1,0.614,251
0,5,1,0.614,251
0,75,1,0.614,251
0,5,0,0.614,251
0,75,0,0.614,251
38.63,55,0,0.616,291
38.19,35,0,0.616,291
27.87,25,0,0.616,291
21.37,75,0,0.616,291
20.11,75,1,0.616,291
18.46,15,0,0.616,291
10.1,55,1,0.616,291
4.97,15,1,0.616,291
4.89,25,1,0.616,291
4.5,35,1,0.616,291
2.01,5,0,0.616,291
0.34,5,1,0.616,291
42.89,55,0,0.593,313
30.12,35,0,0.593,313
27.67,75,0,0.593,313
24.09,25,0,0.593,313
17.77,75,1,0.593,313
16.14,15,0,0.593,313
6.64,35,1,0.593,313
5.92,55,1,0.593,313
5.05,15,1,0.593,313
3.49,25,1,0.593,313
2.51,5,0,0.593,313
0.34,5,1,0.593,313
43.66,75,0,0.63,345
36.5,55,0,0.63,345
34.61,35,0,0.63,345
24.04,25,0,0.63,345
24.02,15,0,0.63,345
8.63,75,1,0.63,345
6.06,55,1,0.63,345
5.66,35,1,0.63,345
3.7,5,0,0.63,345
3.69,15,1,0.63,345
2.38,25,1,0.63,345
0.35,5,1,0.63,345
11.3,75,1,0.616,357
8.83,55,0,0.616,357
7.04,75,0,0.616,357
6.72,35,0,0.616,357
5.56,25,0,0.616,357
5.07,55,1,0.616,357
2.3,15,0,0.616,357
1.79,25,1,0.616,357
1.42,35,1,0.616,357
1.02,15,1,0.616,357
0,5,1,0.616,357
0,5,0,0.616,357
36.56,35,0,0.631,359
29.38,55,0,0.631,359
27.36,25,0,0.631,359
26.46,75,0,0.631,359
18.88,15,0,0.631,359
8.31,75,1,0.631,359
7.56,55,1,0.631,359
7.35,35,1,0.631,359
5.39,15,1,0.631,359
2.9,5,0,0.631,359
2.61,25,1,0.631,359
0.35,5,1,0.631,359
10.64,75,0,0.618,385
6.97,55,0,0.618,385
6.1,35,0,0.618,385
4.8,25,0,0.618,385
3.8,55,1,0.618,385
3.75,75,1,0.618,385
3,15,0,0.618,385
1.46,35,1,0.618,385
0.34,15,1,0.618,385
0,25,1,0.618,385
0,5,1,0.618,385
0,5,0,0.618,385
24.82,75,0,0.62,387
9.67,75,1,0.62,387
8.49,55,0,0.62,387
8.1,35,0,0.62,387
6.29,55,1,0.62,387
3.37,25,0,0.62,387
1.95,15,0,0.62,387
1.6,35,1,0.62,387
1.34,15,1,0.62,387
0.52,5,0,0.62,387
0.31,25,1,0.62,387
0.27,5,1,0.62,387
40.95,55,0,0.609,398
33.82,75,0,0.609,398
29.44,35,0,0.609,398
28.94,25,0,0.609,398
19.88,15,0,0.609,398
6.65,55,1,0.609,398
5.87,25,1,0.609,398
5.54,75,1,0.609,398
5.3,35,1,0.609,398
5,15,1,0.609,398
3.03,5,0,0.609,398
0.52,5,1,0.609,398
36.27,55,0,0.64,424
28.84,35,0,0.64,424
24.71,25,0,0.64,424
13.61,15,0,0.64,424
9.02,75,0,0.64,424
5.44,15,1,0.64,424
5.25,55,1,0.64,424
4.83,35,1,0.64,424
4.79,75,1,0.64,424
2.83,25,1,0.64,424
1.91,5,0,0.64,424
0.36,5,1,0.64,424
47.52,35,0,0.562,425
45.74,55,0,0.562,425
45.69,75,0,0.562,425
29.46,25,0,0.562,425
20.21,15,0,0.562,425
13,55,1,0.562,425
11.63,75,1,0.562,425
9.94,15,1,0.562,425
8.88,35,1,0.562,425
6.27,25,1,0.562,425
0.89,5,0,0.562,425
0.54,5,1,0.562,425
11.97,55,0,0.605,426
8.1,35,0,0.605,426
7.25,25,0,0.605,426
7.14,75,0,0.605,426
3.89,75,1,0.605,426
3.73,55,1,0.605,426
3.51,25,1,0.605,426
3.19,15,0,0.605,426
1.76,35,1,0.605,426
0.99,15,1,0.605,426
0.26,5,0,0.605,426
0,5,1,0.605,426
16.08,35,0,0.621,428
14.95,25,0,0.621,428
13.72,75,0,0.621,428
12.67,55,0,0.621,428
12.16,15,0,0.621,428
6.08,75,1,0.621,428
5.54,25,1,0.621,428
5.37,15,1,0.621,428
3.52,35,1,0.621,428
3.08,55,1,0.621,428
1.5,5,0,0.621,428
0.61,5,1,0.621,428
125.22,75,0,0.597,431
85.59,15,0,0.597,431
79.5,25,0,0.597,431
65.15,55,0,0.597,431
57.08,15,1,0.597,431
56.09,35,0,0.597,431
33.6,25,1,0.597,431
21.7,75,1,0.597,431
14.48,35,1,0.597,431
13.33,55,1,0.597,431
3.87,5,0,0.597,431
3.11,5,1,0.597,431
36.96,55,0,0.603,435
35.35,75,0,0.603,435
34.74,35,0,0.603,435
24.08,25,0,0.603,435
20.62,15,0,0.603,435
13.41,75,1,0.603,435
8.54,55,1,0.603,435
5.59,35,1,0.603,435
5.05,25,1,0.603,435
3.95,15,1,0.603,435
2.38,5,0,0.603,435
0.18,5,1,0.603,435
58.54,75,0,0.591,437
53.57,55,0,0.591,437
47.15,35,0,0.591,437
34.13,25,0,0.591,437
18.78,15,0,0.591,437
15.36,75,1,0.591,437
11.42,55,1,0.591,437
7.4,15,0,0.617,437
